TIPO DE PRODUTO;LADO;Temperatura Massa (oC);Peso Cru (g);Peso Assado (g);ESPESSURA (mm);"COMPRIMENTO
(mm)";"LARGURA
(mm)"
ADRIA;RUN1;32;56,4;48,4;83,2;40,4;40,1
ADRIA;RUN1;30,5;54,7;46,5;82,3;40,3;39,8
ADRIA;RUN1;32,6;52,8;45,7;84,3;40,2;39,8
AMORI;RUN10;31,3;52,6;44,9;85,2;39,7;39,6
ADRIA;RUN10;32,5;55;46,9;84,2;39,8;39,5
ADRIA;RUN10;31,9;53,9;46,8;85,4;40;39,6
ADRIA;RUN2;32;57;49,1;83,1;40,7;40,3
ADRIA;RUN2;30,5;57,6;50,1;85,5;40,4;40,2
ADRIA;RUN2;32,6;56,6;48,6;85,3;40,6;40,1
ADRIA;RUN3;32;54,9;47,2;83;39,5;39,5
ADRIA;RUN3;30,2;57,2;49,1;84,5;40,3;39,9
ADRIA;RUN3;31,7;56,1;47,9;84;39,9;39,7
ADRIA;RUN4;32;54,4;46,7;82,5;39,7;39,5
ADRIA;RUN4;30,2;54,5;46,5;82,1;40,3;40,1
ADRIA;RUN4;31,7;54;46;83;39,7;39,4
ADRIA;RUN5;32;54,7;47,2;82,9;39,5;39,5
ADRIA;RUN5;30,2;57,5;49,6;84,3;40,7;40,1
ADRIA;RUN5;31,7;57,1;49;85;40,3;39,8
ADRIA;RUN6;31,7;56,7;48,4;82,2;40;40,2
ADRIA;RUN6;31,6;57;48,3;84,5;40,1;39,8
ADRIA;RUN6;32,2;56,3;48,7;84,5;40,2;39,7
ADRIA;RUN7;31,7;54,6;47;84,2;39,4;39,9
ADRIA;RUN7;31,6;54,9;46,8;83,4;39,9;39,6
ADRIA;RUN7;32,2;53,6;46,7;83;39,9;39,4
ADRIA;RUN8;31,7;57,2;49,7;83,3;40,2;40,2
ADRIA;RUN8;31,6;57,3;49,4;85,6;40,6;40,1
ADRIA;RUN8;32,2;57,6;49,8;85,9;40,4;39,9
ADRIA;RUN9;30,5;57,4;49,5;84,9;41;40,2
ADRIA;RUN9;32,5;57,4;48,8;85,6;39,9;39,8
ADRIA;RUN9;31,9;56,7;48,3;86,1;40,4;40
AMORI;RUN12;31,3;51,9;44,4;83,9;39,7;39,6
ADRIA;RUN12;30,5;57,1;48,9;85,2;40,1;39,8
ADRIA;RUN12;31,5;56,2;48,5;83,1;40,1;39,5
AMORI;RUN13;31,3;52,3;44,3;85,1;39,9;39,6
ADRIA;RUN13;30,5;54,7;46,8;83,8;40,1;39,5
ADRIA;RUN13;31,5;54,4;46,3;82,6;39,5;39,4
AMORI;RUN14;31,8;50,2;43,8;84,7;39,5;39,6
ADRIA;RUN14;30,5;57,5;49;84,3;40,3;40,1
ADRIA;RUN14;31,5;57,2;49,5;83,7;40,2;39,7
AMORI;RUN15;31,8;51,3;44,1;83,2;39,9;39,9
ADRIA;RUN15;31,3;56,5;48,5;83;40,1;39,9
ADRIA;RUN15;31,7;56,7;48,2;83,8;40,2;39,8
AMORI;RUN16;31,8;52,4;44,9;85,5;39,8;39,6
ADRIA;RUN16;31,3;54,7;47,2;83,5;39,9;39,4
ADRIA;RUN16;31,7;53,9;45,9;82,7;39,6;39,4
AMORI;RUN17;31,4;50,9;43,8;84,3;39,5;39,4
ADRIA;RUN17;31,3;55,1;46;78,8;40,4;39,8
ADRIA;RUN17;31,7;56,8;47,9;82,8;40,3;39,8
AMORI;RUN18;31,4;51,4;44,3;84,6;40;39,7
ADRIA;RUN18;31,1;57;48,9;85,1;40,1;40,1
ADRIA;RUN18;32,1;56,5;48,6;85,7;40,2;39,9
AMORI;RUN19;31,4;51,4;44;83,7;39,6;39,5
ADRIA;RUN19;31,1;54,8;47,5;85,9;39,8;40
ADRIA;RUN19;32,1;54,9;46,6;85,4;40,3;39,7
AMORI;RUN20;32,3;51,9;43,8;86,1;39,1;39,6
ADRIA;RUN20;31,1;57,5;49,4;86;40,4;40
ADRIA;RUN20;32,1;56,8;48,8;84,8;40,7;40,1
